"﻿['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'REM', 'REM', 'REM', 'REM', 'REM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'REM', 'REM', 'REM', 'REM', 'REM']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'REM', 'REM', 'REM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'REM', 'REM', 'REM', 'REM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'REM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'NREM', 'NREM', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
"['397_20hz_50trials.txt', 'ChR2', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Unscored', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake']"
"['397_20hz_50trials.txt', 'ChR2', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'Wake', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM', 'NREM']"
